Code,Name,Organiser,Year,Credits,Semester,Written Exam %,Coursework %,Practical Exam %
CHEE08013,Separation Processes 2,Dr Enzo Mangano,2,10.0,Semester 1,100,0,0
CHEE08012,Introduction to Biochemical Engineering 2,Dr George Serghiou,2,10.0,Semester 2,80,20,0
CHEE08016,Process Plant Engineering 2,Dr Michael Chen,2,10.0,Semester 2,80,20,0
CHEE08017,Chemistry and Processes 2,Dr Timm Krueger,2,10.0,Semester 1,60,40,0
CHEE09015,Chemical Engineering Design 3,Dr Kevin Hanley,3,20.0,Full Year,0,100,0
CHEE09014,Process Dynamics and Control 3,Dr Rodrigo Ledesma Aguilar,3,10.0,Semester 2,100,0,0
CHEE09019,Process Safety and Environmental Issues in Chemical Engineering 3,Dr Dimitri Mignard,3,20.0,Semester 2,100,0,0
CHEE09010,Chemical Engineering Kinetics and Catalysis 3,Dr Francisco Garcia Garcia,3,10.0,Semester 1,100,0,0
CHEE09013,"Heat, Mass and Momentum Transfer 3",Dr Gail Duursma,3,20.0,Full Year,100,0,0
CHEE09020,Chemical Engineering Thermodynamics 3,Dr Santiago Romero-Vargas Castrillon,3,10.0,Semester 1,100,0,0
CHEE09016,Chemical Engineering Laboratory 3,Dr Daniel Orejon Mantecon,3,10.0,Semester 2,0,100,0
CHEE09021,Chemical Engineering Unit Operations 3,Prof Stefano Brandani,3,10.0,Semester 2,100,0,0
CHEE09008,Solids Processing 3,Prof Xianfeng Fan,3,10.0,Semester 1,100,0,0
CHEE10008,Chemical Reaction Engineering 4,Dr Harvey Huang,4,10.0,Semester 1,100,0,0
CHEE11015,Polymer Science and Engineering 5,Dr Cher Hon Lau,4,10.0,Semester 2,100,0,0
CHEE08018,Practical Skills in Chemical Engineering,Dr Daniel Orejon Mantecon,4,0.0,Full Year,0,0,100
CHEE10005,Chemical Engineering Design: Synthesis and Economics 4,Dr Enzo Mangano,4,10.0,Semester 1,0,100,0
CHEE10010,Chemical Engineering Design 4,Dr Wei Li,4,10.0,Semester 1,0,100,0
CHEE10004,Fluid Mechanics (Chemical) 4,Prof Prashant Valluri,4,10.0,Semester 1,0,100,0
CHEE10009,Chemical Engineering Study Project 4,Dr Tayebeh Ameri,4,10.0,Full Year,0,100,0
CHEE10002,Chemical Engineering Design: Projects 4,Dr Jennifer Skilling,4,40.0,Full Year,0,100,0
CHEE11017,Chemical Engineering Research Project 5,Dr Rodrigo Ledesma Aguilar,5,40.0,Full Year,0,100,0
CHEE11008,Batchwise and Semibatch Processing 5,Dr Jennifer Skilling,5,10.0,Semester 2,100,0,0
CHEE11021,Separation Processes for Carbon Capture 5,Dr Hyungwoong Ahn,5,10.0,Semester 2,0,100,0
CHEE11028,Electrochemical Engineering 5,Dr Nacho Tudela-Montes,5,10.0,Semester 2,100,0,0
CHEE11016,Adsorption 5,Prof Stefano Brandani,5,10.0,Semester 2,80,20,0
CHEE11030,Biotechnology and Bioprocess Engineering 5,Dr Simone Dimartino,5,10.0,Semester 2,100,0,0
CHEE11024,Chemical Engineering Research Project (VS),Dr Rodrigo Ledesma Aguilar,5,60.0,Full Year,0,100,0
CHEE11029,Advanced Process Safety 5,Dr Jennifer Skilling,5,10.0,Semester 2,100,0,0
CHEE11031,Chemical Engineering Industrial/Overseas Research Project 5,Prof Prashant Valluri,5,60.0,Semester 1,0,100,0
CHEE11020,Molecular Thermodynamics 5,Dr Martin Sweatman,5,10.0,Semester 1,50,50,0
CHEE11026,Nanomaterials in Chemical and Biomedical Engineering 5,Dr Norbert Radacsi,5,10.0,Semester 2,100,0,0
CHEE11023,Separation Processes 5,Dr Hyungwoong Ahn,5,10.0,Semester 2,100,0,0
CHEE11033,Chemical Engineering Research Project 5,Dr Rodrigo Ledesma Aguilar,5,60.0,Semester 1,0,100,0
CHEE11022,Gas Separations Using Membranes 5,Prof Maria-Chiara Ferrari,5,10.0,Semester 2,100,0,0
CHEE11032,Advanced Chemical Engineering Design 5,Dr Hyungwoong Ahn,5,10.0,Semester 2,0,100,0
CIVE08020,Tools for Engineering Design 2,Dr David Rush,2,10.0,Semester 2,0,100,0
CIVE08024,Fire Science and Engineering 2,Dr Rory Hadden,2,10.0,Semester 1,70,30,0
CIVE08025,Geotechnical Engineering 2,Dr Jin Sun,2,10.0,Semester 2,70,30,0
CIVE08023,Environmental Engineering and Sustainability 2,Dr Andrea Correia Semiao,2,10.0,Semester 1,70,30,0
CIVE08026,Structural Mechanics 2,Dr Thomas Reynolds,2,10.0,Semester 1,80,20,0
CIVE09020,Environmental Engineering 3,Prof Lindsay Beevers,3,10.0,Semester 2,0,100,0
CIVE09036,Structural Analysis 3,Prof Yong Lu,3,20.0,Semester 1,80,20,0
CIVE09037,Civil Engineering Infrastructure and Construction 3,Dr Simon Smith,3,20.0,Full Year,40,60,0
CIVE09016,Geotechnical Engineering 3,Prof Jin Ooi,3,20.0,Semester 2,70,30,0
CIVE09023,Fire Safety Engineering 3,Dr Rory Hadden,3,10.0,Semester 2,0,100,0
CIVE09038,Structural Engineering 3,Prof Dilum Fernando,3,10.0,Semester 2,0,100,0
CIVE09034,Conceptual Design and Sustainability for Civil Engineers 3,Dr Yavuz Yardim,3,20.0,Full Year,0,100,0
CIVE09035,"Water Engineering, Transport and Treatment 3",Dr Athanasios Angeloudis,3,20.0,Semester 1,80,20,0
CIVE08027,Practical Skills in Civil Engineering,Dr Christopher Beckett,4,0.0,Full Year,0,0,100
CIVE11051,Research Methods for Engineers 5,Dr Simon Smith,4,10.0,Semester 1,0,100,0
CIVE10008,Water and Wastewater Systems 4,Dr Efthalia Chatzisymeon,4,10.0,Semester 2,80,20,0
CIVE10030,Steel Structures 4,Dr Yuner Huang,4,10.0,Semester 1,55,45,0
CIVE10006,Hydraulic Engineering 4,Dr Athanasios Angeloudis,4,10.0,Semester 2,100,0,0
CIVE10004,Foundation Engineering 4,Dr Christopher Beckett,4,10.0,Semester 1,100,0,0
CIVE10011,Fire Science and Fire Dynamics 4,Dr Richard Carvel,4,10.0,Semester 1,80,20,0
CIVE10013,BEng Thesis 4 (Civil & Environmental Engineering),Dr Richard Carvel,4,40.0,Full Year,0,100,0
CIVE10028,Fire Safety Engineering 4,Dr Stephen Welch,4,10.0,Semester 1,80,20,0
CIVE10022,Finite Element Methods for Solids and Structures 4,Dr Stefanos Papanicolopulos,4,10.0,Semester 1,60,40,0
CIVE10031,BEng Civil Engineering Design Project 4,Dr Julio Bros-Williamson,4,10.0,Semester 2,0,100,0
CIVE10029,Concrete Structures 4,Dr Hwa Kian Chai,4,10.0,Semester 2,55,45,0
CIVE11053,Learning from Engineering Failures 5,Prof Luke Bisby,5,10.0,Semester 2,0,100,0
CIVE11052,Fire Science 5,Dr Rory Hadden,5,10.0,Semester 1,100,0,0
CIVE11034,Structural Dynamics and Earthquake Engineering 5,Dr Pankaj Pankaj,5,10.0,Semester 1,100,0,0
CIVE11029,The Finite Element Method 5,Dr Stefanos Papanicolopulos,5,10.0,Semester 2,60,40,0
CIVE11047,Fire Science Laboratory 5,Dr Stephen Welch,5,10.0,Semester 2,0,100,0
CIVE11050,Infrastructure Sensing using Ground Penetrating Radar 5,Dr Antonios Giannopoulos,5,10.0,Semester 2,50,50,0
CIVE11031,MEng Thesis 5 (Discipline of Civil & Environmental Engineering),Dr Richard Carvel,5,40.0,Full Year,0,100,0
CIVE11025,Mechanics of Repairing and Strengthening Structures 5,Dr Giovanni Terrasi,5,10.0,Semester 1,100,0,0
CIVE11044,Structural Design for Fire 5,Dr Angus Law,5,10.0,Semester 1,100,0,0
CIVE11049,Models for Fire Safety 5,Dr Richard Carvel,5,10.0,Semester 2,0,100,0
CIVE11038,Structural Engineering Design Project 5,Dr Yuner Huang,5,20.0,Semester 2,0,100,0
CIVE11045,Fire Safety Engineering Design Project 5,Dr Angus Law,5,20.0,Semester 2,0,100,0
ELEE08020,Microelectronics 2,Dr Philip Hands,2,10.0,Semester 1,80,20,0
ELEE08021,Sensor Networks and Data Analysis 2,Dr James Hopgood,2,10.0,Semester 2,70,30,0
ELEE08022,Software and Embedded Systems Laboratory 2,Dr John Thompson,2,10.0,Semester 2,0,100,0
ELEE08015,Digital System Design 2,Dr Mehrdad Yaghoobi Vaighan,2,10.0,Semester 2,50,50,0
ELEE08016,Analogue Circuits 2,Dr David Laurenson,2,10.0,Semester 1,80,20,0
